subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE costAfterGREEPI costAfterGRESPE
VPMBAUS02 TASK-UA-0750 -1.19198 -1.24473 -1.24951 -1.19565 -1.19358 -1.19282
VPMBAUS03 TASK-UA-0750 -1.202 -1.25535 -1.25936 -1.20124 -1.19916 -1.20015
VPMBAUS08 TASK-UA-0750 -1.17856 -1.23955 -1.24549 -1.18246 -1.18224 -1.18138
VPMBAUS15 TASK-UA-0750 -1.19892 -1.2605 -1.26162 -1.21037 -1.20677 -1.21027
VPMBAUS16 TASK-UA-0750 -1.19202 -1.25796 -1.26253 -1.19432 -1.19584 -1.19732
VPMBAUS05 TASK-UA-0750 -1.1869 -1.25196 -1.25833 -1.18641 -1.18697 -1.18506
VPMBAUS10 TASK-UA-0750 -1.18614 -1.24043 -1.24326 -1.18702 -1.18652 -1.18632
VPMBAUS11 TASK-UA-1000 -1.1983 -1.27101 -1.27015 -1.20342 -1.20377 -1.20545
VPMBAUS23 TASK-UA-1000 -1.20816 -1.24684 -1.24871 -1.20583 -1.20522 -1.20239
VPMBAUS07 TASK-UA-1000 -1.20032 -1.26393 -1.25957 -1.20354 -1.20007 -1.20118
VPMBAUS21 TASK-UA-1000 -1.18469 -1.25842 -1.26203 -1.18966 -1.18771 -1.19041
VPMBAUS06 TASK-UA-1000 -1.19174 -1.25366 -1.25688 -1.194 -1.1933 -1.19449
VPMBAUS12 TASK-UA-1000 -1.18547 -1.2447 -1.24907 -1.1845 -1.18364 -1.18338
VPMBAUS01 TASK-UA-1000 -1.20363 -1.2671 -1.27214 -1.21338 -1.212 -1.20953
VPMBAUS02 TASK-UA-1000 -1.19098 -1.24661 -1.24728 -1.1937 -1.19475 -1.19355
VPMBAUS22 TASK-UA-1000 -1.17991 -1.22945 -1.237 -1.17931 -1.17806 -1.17634
VPMBAUS15 TASK-UA-1000 -1.19954 -1.26582 -1.26777 -1.2103 -1.20736 -1.20584
VPMBAUS03 TASK-UA-1000 -1.19923 -1.25513 -1.25812 -1.19964 -1.19845 -1.19915
VPMBAUS16 TASK-UA-1000 -1.19606 -1.26449 -1.26475 -1.19865 -1.1989 -1.19981
VPMBAUS08 TASK-UA-1000 -1.17877 -1.23912 -1.24767 -1.18339 -1.18248 -1.18175
VPMBAUS10 TASK-UA-1000 -1.1865 -1.24502 -1.24468 -1.18837 -1.18805 -1.18808
VPMBAUS05 TASK-UA-1000 -1.18656 -1.25335 -1.25877 -1.18564 -1.18829 -1.18738
VPMBAUS11 TASK-UA-2500 -1.17444 -1.28059 -1.28889 -1.16253 -1.16576 -1.16163
VPMBAUS07 TASK-UA-2500 -1.18755 -1.26523 -1.27994 -1.18035 -1.1815 -1.18141
VPMBAUS23 TASK-UA-2500 -1.19151 -1.25672 -1.27083 -1.18176 -1.18298 -1.17572
VPMBAUS06 TASK-UA-2500 -1.17046 -1.27226 -1.27811 -1.16096 -1.16432 -1.161
VPMBAUS21 TASK-UA-2500 -1.15659 -1.26374 -1.27985 -1.15288 -1.15223 -1.15146
VPMBAUS12 TASK-UA-2500 -1.15967 -1.25873 -1.26131 -1.15531 -1.15455 -1.15425
VPMBAUS01 TASK-UA-2500 -1.1909 -1.26784 -1.27937 -1.18056 -1.17932 -1.18126
VPMBAUS02 TASK-UA-2500 -1.18043 -1.26214 -1.266 -1.17067 -1.17162 -1.17088
VPMBAUS22 TASK-UA-2500 -1.15065 -1.24035 -1.24404 -1.14445 -1.14659 -1.14535
VPMBAUS15 TASK-UA-2500 -1.186 -1.26538 -1.27124 -1.17443 -1.17422 -1.17502
VPMBAUS03 TASK-UA-2500 -1.17556 -1.26394 -1.27585 -1.1675 -1.16775 -1.16649
VPMBAUS16 TASK-UA-2500 -1.17139 -1.27297 -1.28221 -1.16491 -1.1646 -1.16249
VPMBAUS08 TASK-UA-2500 -1.15283 -1.25274 -1.26506 -1.14693 -1.14778 -1.14477
VPMBAUS10 TASK-UA-2500 -1.15374 -1.24865 -1.26198 -1.14968 -1.15139 -1.15122
VPMBAUS05 TASK-UA-2500 -1.14128 -1.27003 -1.27456 -1.13706 -1.1362 -1.13697
